images\000000000.tif  labels\000000000.tif 
images\000000699.tif  labels\000000699.tif 
images\000000700.tif  labels\000000700.tif 
images\000000701.tif  labels\000000701.tif 
images\000000702.tif  labels\000000702.tif 
images\000000703.tif  labels\000000703.tif 
images\000000704.tif  labels\000000704.tif 
images\000000705.tif  labels\000000705.tif 
images\000000706.tif  labels\000000706.tif 
images\000000707.tif  labels\000000707.tif 
images\000000708.tif  labels\000000708.tif 
images\000000709.tif  labels\000000709.tif 
images\000000710.tif  labels\000000710.tif 
images\000000711.tif  labels\000000711.tif 
images\000000712.tif  labels\000000712.tif 
images\000000713.tif  labels\000000713.tif 
images\000000714.tif  labels\000000714.tif 
images\000000715.tif  labels\000000715.tif 
images\000000716.tif  labels\000000716.tif 
images\000000717.tif  labels\000000717.tif 
images\000000718.tif  labels\000000718.tif 
images\000000719.tif  labels\000000719.tif 
images\000000720.tif  labels\000000720.tif 
images\000000721.tif  labels\000000721.tif 
images\000000722.tif  labels\000000722.tif 
images\000000723.tif  labels\000000723.tif 
images\000000724.tif  labels\000000724.tif 
images\000000725.tif  labels\000000725.tif 
images\000000726.tif  labels\000000726.tif 
images\000000727.tif  labels\000000727.tif 
images\000000728.tif  labels\000000728.tif 
images\000000729.tif  labels\000000729.tif 
images\000000730.tif  labels\000000730.tif 
images\000000731.tif  labels\000000731.tif 
images\000000732.tif  labels\000000732.tif 
images\000000733.tif  labels\000000733.tif 
images\000000734.tif  labels\000000734.tif 
images\000000735.tif  labels\000000735.tif 
images\000000736.tif  labels\000000736.tif 
images\000000737.tif  labels\000000737.tif 
images\000000738.tif  labels\000000738.tif 
images\000000739.tif  labels\000000739.tif 
images\000000740.tif  labels\000000740.tif 
images\000000741.tif  labels\000000741.tif 
images\000000742.tif  labels\000000742.tif 
images\000000743.tif  labels\000000743.tif 
images\000000744.tif  labels\000000744.tif 
images\000000745.tif  labels\000000745.tif 
images\000000746.tif  labels\000000746.tif 
images\000000747.tif  labels\000000747.tif 
images\000000748.tif  labels\000000748.tif 
images\000000749.tif  labels\000000749.tif 
images\000000750.tif  labels\000000750.tif 
images\000000751.tif  labels\000000751.tif 
images\000000752.tif  labels\000000752.tif 
images\000000753.tif  labels\000000753.tif 
images\000000754.tif  labels\000000754.tif 
images\000000755.tif  labels\000000755.tif 
images\000000756.tif  labels\000000756.tif 
images\000000757.tif  labels\000000757.tif 
images\000000758.tif  labels\000000758.tif 
images\000000759.tif  labels\000000759.tif 
images\000000760.tif  labels\000000760.tif 
images\000000761.tif  labels\000000761.tif 
images\000000762.tif  labels\000000762.tif 
images\000000763.tif  labels\000000763.tif 
images\000000764.tif  labels\000000764.tif 
images\000000765.tif  labels\000000765.tif 
images\000000766.tif  labels\000000766.tif 
images\000000767.tif  labels\000000767.tif 
images\000000768.tif  labels\000000768.tif 
images\000000769.tif  labels\000000769.tif 
images\000000770.tif  labels\000000770.tif 
images\000000771.tif  labels\000000771.tif 
images\000000772.tif  labels\000000772.tif 
images\000000773.tif  labels\000000773.tif 
images\000000774.tif  labels\000000774.tif 
images\000000775.tif  labels\000000775.tif 
images\000000776.tif  labels\000000776.tif 
images\000000777.tif  labels\000000777.tif 
images\000000778.tif  labels\000000778.tif 
images\000000779.tif  labels\000000779.tif 
images\000000780.tif  labels\000000780.tif 
images\000000781.tif  labels\000000781.tif 
images\000000782.tif  labels\000000782.tif 
images\000000783.tif  labels\000000783.tif 
images\000000784.tif  labels\000000784.tif 
images\000000785.tif  labels\000000785.tif 
images\000000786.tif  labels\000000786.tif 
images\000000787.tif  labels\000000787.tif 
images\000000788.tif  labels\000000788.tif 
images\000000789.tif  labels\000000789.tif 
images\000000790.tif  labels\000000790.tif 
images\000000791.tif  labels\000000791.tif 
images\000000792.tif  labels\000000792.tif 
images\000000793.tif  labels\000000793.tif 
images\000000794.tif  labels\000000794.tif 
images\000000795.tif  labels\000000795.tif 
images\000000796.tif  labels\000000796.tif 
images\000000797.tif  labels\000000797.tif 
images\000000798.tif  labels\000000798.tif 
images\000000799.tif  labels\000000799.tif 
images\000000800.tif  labels\000000800.tif 
images\000000801.tif  labels\000000801.tif 
images\000000802.tif  labels\000000802.tif 
images\000000803.tif  labels\000000803.tif 
images\000000804.tif  labels\000000804.tif 
images\000000805.tif  labels\000000805.tif 
images\000000806.tif  labels\000000806.tif 
images\000000807.tif  labels\000000807.tif 
images\000000808.tif  labels\000000808.tif 
images\000000809.tif  labels\000000809.tif 
images\000000810.tif  labels\000000810.tif 
images\000000811.tif  labels\000000811.tif 
images\000000812.tif  labels\000000812.tif 
images\000000813.tif  labels\000000813.tif 
images\000000814.tif  labels\000000814.tif 
images\000000815.tif  labels\000000815.tif 
images\000000816.tif  labels\000000816.tif 
images\000000817.tif  labels\000000817.tif 
images\000000818.tif  labels\000000818.tif 
images\000000819.tif  labels\000000819.tif 
images\000000820.tif  labels\000000820.tif 
images\000000821.tif  labels\000000821.tif 
images\000000822.tif  labels\000000822.tif 
images\000000823.tif  labels\000000823.tif 
images\000000824.tif  labels\000000824.tif 
images\000000825.tif  labels\000000825.tif 
images\000000826.tif  labels\000000826.tif 
images\000000827.tif  labels\000000827.tif 
images\000000828.tif  labels\000000828.tif 
images\000000829.tif  labels\000000829.tif 
images\000000830.tif  labels\000000830.tif 
images\000000831.tif  labels\000000831.tif 
images\000000832.tif  labels\000000832.tif 
images\000000833.tif  labels\000000833.tif 
images\000000834.tif  labels\000000834.tif 
images\000000835.tif  labels\000000835.tif 
images\000000836.tif  labels\000000836.tif 
images\000000837.tif  labels\000000837.tif 
images\000000838.tif  labels\000000838.tif 
images\000000839.tif  labels\000000839.tif 
images\000000840.tif  labels\000000840.tif 
images\000000841.tif  labels\000000841.tif 
images\000000842.tif  labels\000000842.tif 
images\000000843.tif  labels\000000843.tif 
images\000000844.tif  labels\000000844.tif 
images\000000845.tif  labels\000000845.tif 
images\000000846.tif  labels\000000846.tif 
images\000000847.tif  labels\000000847.tif 
images\000000848.tif  labels\000000848.tif 
images\000000849.tif  labels\000000849.tif 
images\000000850.tif  labels\000000850.tif 
images\000000851.tif  labels\000000851.tif 
images\000000852.tif  labels\000000852.tif 
images\000000853.tif  labels\000000853.tif 
images\000000854.tif  labels\000000854.tif 
images\000000855.tif  labels\000000855.tif 
images\000000856.tif  labels\000000856.tif 
images\000000857.tif  labels\000000857.tif 
images\000000858.tif  labels\000000858.tif 
images\000000859.tif  labels\000000859.tif 
images\000000860.tif  labels\000000860.tif 
images\000000861.tif  labels\000000861.tif 
images\000000862.tif  labels\000000862.tif 
images\000000863.tif  labels\000000863.tif 
images\000000864.tif  labels\000000864.tif 
images\000000865.tif  labels\000000865.tif 
images\000000866.tif  labels\000000866.tif 
images\000000867.tif  labels\000000867.tif 
images\000000868.tif  labels\000000868.tif 
images\000000869.tif  labels\000000869.tif 
images\000000870.tif  labels\000000870.tif 
images\000000871.tif  labels\000000871.tif 
images\000000872.tif  labels\000000872.tif 
images\000000873.tif  labels\000000873.tif 
images\000000874.tif  labels\000000874.tif 
images\000000875.tif  labels\000000875.tif 
images\000000876.tif  labels\000000876.tif 
images\000000877.tif  labels\000000877.tif 
images\000000878.tif  labels\000000878.tif 
images\000000879.tif  labels\000000879.tif 
images\000000880.tif  labels\000000880.tif 
images\000000881.tif  labels\000000881.tif 
images\000000882.tif  labels\000000882.tif 
images\000000883.tif  labels\000000883.tif 
images\000000884.tif  labels\000000884.tif 
images\000000885.tif  labels\000000885.tif 
images\000000886.tif  labels\000000886.tif 
images\000000887.tif  labels\000000887.tif 
images\000000888.tif  labels\000000888.tif 
images\000000889.tif  labels\000000889.tif 
images\000000890.tif  labels\000000890.tif 
images\000000891.tif  labels\000000891.tif 
images\000000892.tif  labels\000000892.tif 
images\000000893.tif  labels\000000893.tif 
images\000000894.tif  labels\000000894.tif 
images\000000895.tif  labels\000000895.tif 
images\000000896.tif  labels\000000896.tif 
images\000000897.tif  labels\000000897.tif 
images\000000898.tif  labels\000000898.tif 
images\000000899.tif  labels\000000899.tif 
images\000000900.tif  labels\000000900.tif 
images\000000901.tif  labels\000000901.tif 
images\000000902.tif  labels\000000902.tif 
images\000000903.tif  labels\000000903.tif 
images\000000904.tif  labels\000000904.tif 
images\000000905.tif  labels\000000905.tif 
images\000000906.tif  labels\000000906.tif 
images\000000907.tif  labels\000000907.tif 
images\000000908.tif  labels\000000908.tif 
images\000000909.tif  labels\000000909.tif 
images\000000910.tif  labels\000000910.tif 
images\000000911.tif  labels\000000911.tif 
images\000000912.tif  labels\000000912.tif 
images\000000913.tif  labels\000000913.tif 
images\000000914.tif  labels\000000914.tif 
images\000000915.tif  labels\000000915.tif 
images\000000916.tif  labels\000000916.tif 
images\000000917.tif  labels\000000917.tif 
images\000000918.tif  labels\000000918.tif 
images\000000919.tif  labels\000000919.tif 
images\000000920.tif  labels\000000920.tif 
images\000000921.tif  labels\000000921.tif 
images\000000922.tif  labels\000000922.tif 
images\000000923.tif  labels\000000923.tif 
images\000000924.tif  labels\000000924.tif 
images\000000925.tif  labels\000000925.tif 
images\000000926.tif  labels\000000926.tif 
images\000000927.tif  labels\000000927.tif 
images\000000928.tif  labels\000000928.tif 
images\000000929.tif  labels\000000929.tif 
images\000000930.tif  labels\000000930.tif 
images\000000931.tif  labels\000000931.tif 
images\000000932.tif  labels\000000932.tif 
images\000000933.tif  labels\000000933.tif 
images\000000934.tif  labels\000000934.tif 
images\000000935.tif  labels\000000935.tif 
images\000000936.tif  labels\000000936.tif 
images\000000937.tif  labels\000000937.tif 
images\000000938.tif  labels\000000938.tif 
images\000000939.tif  labels\000000939.tif 
images\000000940.tif  labels\000000940.tif 
images\000000941.tif  labels\000000941.tif 
images\000000942.tif  labels\000000942.tif 
images\000000943.tif  labels\000000943.tif 
images\000000944.tif  labels\000000944.tif 
images\000000945.tif  labels\000000945.tif 
images\000000946.tif  labels\000000946.tif 
images\000000947.tif  labels\000000947.tif 
images\000000948.tif  labels\000000948.tif 
images\000000949.tif  labels\000000949.tif 
images\000000950.tif  labels\000000950.tif 
images\000000951.tif  labels\000000951.tif 
images\000000952.tif  labels\000000952.tif 
images\000000953.tif  labels\000000953.tif 
images\000000954.tif  labels\000000954.tif 
images\000000955.tif  labels\000000955.tif 
images\000000956.tif  labels\000000956.tif 
images\000000957.tif  labels\000000957.tif 
images\000000958.tif  labels\000000958.tif 
images\000000959.tif  labels\000000959.tif 
images\000000960.tif  labels\000000960.tif 
images\000000961.tif  labels\000000961.tif 
images\000000962.tif  labels\000000962.tif 
images\000000963.tif  labels\000000963.tif 
images\000000964.tif  labels\000000964.tif 
images\000000965.tif  labels\000000965.tif 
images\000000966.tif  labels\000000966.tif 
images\000000967.tif  labels\000000967.tif 
images\000000968.tif  labels\000000968.tif 
images\000000969.tif  labels\000000969.tif 
images\000000970.tif  labels\000000970.tif 
images\000000971.tif  labels\000000971.tif 
images\000000972.tif  labels\000000972.tif 
images\000000973.tif  labels\000000973.tif 
images\000000974.tif  labels\000000974.tif 
images\000000975.tif  labels\000000975.tif 
images\000000976.tif  labels\000000976.tif 
images\000000977.tif  labels\000000977.tif 
images\000000978.tif  labels\000000978.tif 
images\000000979.tif  labels\000000979.tif 
images\000000980.tif  labels\000000980.tif 
images\000000981.tif  labels\000000981.tif 
images\000000982.tif  labels\000000982.tif 
images\000000983.tif  labels\000000983.tif 
images\000000984.tif  labels\000000984.tif 
images\000000985.tif  labels\000000985.tif 
images\000000986.tif  labels\000000986.tif 
images\000000987.tif  labels\000000987.tif 
images\000000988.tif  labels\000000988.tif 
images\000000989.tif  labels\000000989.tif 
images\000000990.tif  labels\000000990.tif 
images\000000991.tif  labels\000000991.tif 
images\000000992.tif  labels\000000992.tif 
images\000000993.tif  labels\000000993.tif 
images\000000994.tif  labels\000000994.tif 
images\000000995.tif  labels\000000995.tif 
images\000000996.tif  labels\000000996.tif 
images\000000997.tif  labels\000000997.tif 
images\000000998.tif  labels\000000998.tif 
images\000000999.tif  labels\000000999.tif 
images\000001000.tif  labels\000001000.tif 
images\000001001.tif  labels\000001001.tif 
images\000001002.tif  labels\000001002.tif 
images\000001003.tif  labels\000001003.tif 
images\000001004.tif  labels\000001004.tif 
images\000001005.tif  labels\000001005.tif 
images\000001006.tif  labels\000001006.tif 
images\000001007.tif  labels\000001007.tif 
images\000001008.tif  labels\000001008.tif 
images\000001009.tif  labels\000001009.tif 
images\000001010.tif  labels\000001010.tif 
images\000001011.tif  labels\000001011.tif 
images\000001012.tif  labels\000001012.tif 
images\000001013.tif  labels\000001013.tif 
images\000001014.tif  labels\000001014.tif 
images\000001015.tif  labels\000001015.tif 
images\000001016.tif  labels\000001016.tif 
images\000001017.tif  labels\000001017.tif 
images\000001018.tif  labels\000001018.tif 
images\000001019.tif  labels\000001019.tif 
images\000001020.tif  labels\000001020.tif 
images\000001021.tif  labels\000001021.tif 
images\000001022.tif  labels\000001022.tif 
images\000001023.tif  labels\000001023.tif 
images\000001024.tif  labels\000001024.tif 
images\000001025.tif  labels\000001025.tif 
images\000001026.tif  labels\000001026.tif 
images\000001027.tif  labels\000001027.tif 
images\000001028.tif  labels\000001028.tif 
images\000001029.tif  labels\000001029.tif 
images\000001030.tif  labels\000001030.tif 
images\000001031.tif  labels\000001031.tif 
images\000001032.tif  labels\000001032.tif 
images\000001033.tif  labels\000001033.tif 
images\000001034.tif  labels\000001034.tif 
images\000001035.tif  labels\000001035.tif 
images\000001036.tif  labels\000001036.tif 
images\000001037.tif  labels\000001037.tif 
images\000001038.tif  labels\000001038.tif 
images\000001039.tif  labels\000001039.tif 
images\000001040.tif  labels\000001040.tif 
images\000001041.tif  labels\000001041.tif 
images\000001042.tif  labels\000001042.tif 
images\000001043.tif  labels\000001043.tif 
images\000001044.tif  labels\000001044.tif 
images\000001045.tif  labels\000001045.tif 
images\000001046.tif  labels\000001046.tif 
images\000001047.tif  labels\000001047.tif 
images\000001048.tif  labels\000001048.tif 
images\000001049.tif  labels\000001049.tif 
images\000001050.tif  labels\000001050.tif 
images\000001051.tif  labels\000001051.tif 
images\000001052.tif  labels\000001052.tif 
images\000001053.tif  labels\000001053.tif 
images\000001054.tif  labels\000001054.tif 
images\000001055.tif  labels\000001055.tif 
images\000001056.tif  labels\000001056.tif 
images\000001057.tif  labels\000001057.tif 
images\000001058.tif  labels\000001058.tif 
images\000001059.tif  labels\000001059.tif 
images\000001060.tif  labels\000001060.tif 
images\000001061.tif  labels\000001061.tif 
images\000001062.tif  labels\000001062.tif 
images\000001063.tif  labels\000001063.tif 
images\000001064.tif  labels\000001064.tif 
images\000001065.tif  labels\000001065.tif 
images\000001066.tif  labels\000001066.tif 
images\000001067.tif  labels\000001067.tif 
images\000001068.tif  labels\000001068.tif 
images\000001069.tif  labels\000001069.tif 
images\000001070.tif  labels\000001070.tif 
images\000001071.tif  labels\000001071.tif 
images\000001072.tif  labels\000001072.tif 
images\000001073.tif  labels\000001073.tif 
images\000001074.tif  labels\000001074.tif 
images\000001075.tif  labels\000001075.tif 
images\000001076.tif  labels\000001076.tif 
images\000001077.tif  labels\000001077.tif 
images\000001078.tif  labels\000001078.tif 
images\000001079.tif  labels\000001079.tif 
images\000001080.tif  labels\000001080.tif 
images\000001081.tif  labels\000001081.tif 
images\000001082.tif  labels\000001082.tif 
images\000001083.tif  labels\000001083.tif 
images\000001084.tif  labels\000001084.tif 
images\000001085.tif  labels\000001085.tif 
images\000001086.tif  labels\000001086.tif 
images\000001087.tif  labels\000001087.tif 
images\000001088.tif  labels\000001088.tif 
images\000001089.tif  labels\000001089.tif 
images\000001090.tif  labels\000001090.tif 
images\000001091.tif  labels\000001091.tif 
images\000001092.tif  labels\000001092.tif 
images\000001093.tif  labels\000001093.tif 
images\000001094.tif  labels\000001094.tif 
images\000001095.tif  labels\000001095.tif 
images\000001096.tif  labels\000001096.tif 
images\000001097.tif  labels\000001097.tif 
images\000001098.tif  labels\000001098.tif 
images\000001099.tif  labels\000001099.tif 
images\000001100.tif  labels\000001100.tif 
images\000001101.tif  labels\000001101.tif 
images\000001102.tif  labels\000001102.tif 
images\000001103.tif  labels\000001103.tif 
images\000001104.tif  labels\000001104.tif 
images\000001105.tif  labels\000001105.tif 
images\000001106.tif  labels\000001106.tif 
images\000001107.tif  labels\000001107.tif 
images\000001108.tif  labels\000001108.tif 
images\000001109.tif  labels\000001109.tif 
images\000001110.tif  labels\000001110.tif 
images\000001111.tif  labels\000001111.tif 
images\000001112.tif  labels\000001112.tif 
images\000001113.tif  labels\000001113.tif 
images\000001114.tif  labels\000001114.tif 
images\000001115.tif  labels\000001115.tif 
images\000001116.tif  labels\000001116.tif 
images\000001117.tif  labels\000001117.tif 
images\000001118.tif  labels\000001118.tif 
images\000001119.tif  labels\000001119.tif 
images\000001120.tif  labels\000001120.tif 
images\000001121.tif  labels\000001121.tif 
images\000001122.tif  labels\000001122.tif 
images\000001123.tif  labels\000001123.tif 
images\000001124.tif  labels\000001124.tif 
images\000001125.tif  labels\000001125.tif 
images\000001126.tif  labels\000001126.tif 
images\000001127.tif  labels\000001127.tif 
images\000001128.tif  labels\000001128.tif 
images\000001129.tif  labels\000001129.tif 
images\000001130.tif  labels\000001130.tif 
images\000001131.tif  labels\000001131.tif 
images\000001132.tif  labels\000001132.tif 
images\000001133.tif  labels\000001133.tif 
images\000001134.tif  labels\000001134.tif 
images\000001135.tif  labels\000001135.tif 
images\000001136.tif  labels\000001136.tif 
images\000001137.tif  labels\000001137.tif 
images\000001138.tif  labels\000001138.tif 
images\000001139.tif  labels\000001139.tif 
images\000001140.tif  labels\000001140.tif 
images\000001141.tif  labels\000001141.tif 
images\000001142.tif  labels\000001142.tif 
images\000001143.tif  labels\000001143.tif 
images\000001144.tif  labels\000001144.tif 
images\000001145.tif  labels\000001145.tif 
images\000001146.tif  labels\000001146.tif 
images\000001147.tif  labels\000001147.tif 
images\000001148.tif  labels\000001148.tif 
images\000001149.tif  labels\000001149.tif 
images\000001150.tif  labels\000001150.tif 
images\000001151.tif  labels\000001151.tif 
images\000001152.tif  labels\000001152.tif 
images\000001153.tif  labels\000001153.tif 
images\000001154.tif  labels\000001154.tif 
images\000001155.tif  labels\000001155.tif 
images\000001156.tif  labels\000001156.tif 
images\000001157.tif  labels\000001157.tif 
images\000001158.tif  labels\000001158.tif 
images\000001159.tif  labels\000001159.tif 
images\000001160.tif  labels\000001160.tif 
images\000001161.tif  labels\000001161.tif 
images\000001162.tif  labels\000001162.tif 
images\000001163.tif  labels\000001163.tif 
images\000001164.tif  labels\000001164.tif 
images\000001165.tif  labels\000001165.tif 
images\000001166.tif  labels\000001166.tif 
images\000001167.tif  labels\000001167.tif 
images\000001168.tif  labels\000001168.tif 
images\000001169.tif  labels\000001169.tif 
images\000001170.tif  labels\000001170.tif 
images\000001171.tif  labels\000001171.tif 
images\000001172.tif  labels\000001172.tif 
images\000001173.tif  labels\000001173.tif 
images\000001174.tif  labels\000001174.tif 
images\000001175.tif  labels\000001175.tif 
images\000001176.tif  labels\000001176.tif 
images\000001177.tif  labels\000001177.tif 
images\000001178.tif  labels\000001178.tif 
images\000001179.tif  labels\000001179.tif 
images\000001180.tif  labels\000001180.tif 
images\000001181.tif  labels\000001181.tif 
images\000001182.tif  labels\000001182.tif 
images\000001183.tif  labels\000001183.tif 
images\000001184.tif  labels\000001184.tif 
images\000001185.tif  labels\000001185.tif 
images\000001186.tif  labels\000001186.tif 
images\000001187.tif  labels\000001187.tif 
images\000001188.tif  labels\000001188.tif 
images\000001189.tif  labels\000001189.tif 
images\000001190.tif  labels\000001190.tif 
images\000001191.tif  labels\000001191.tif 
images\000001192.tif  labels\000001192.tif 
images\000001193.tif  labels\000001193.tif 
images\000001194.tif  labels\000001194.tif 
images\000001195.tif  labels\000001195.tif 
images\000001196.tif  labels\000001196.tif 
images\000001197.tif  labels\000001197.tif 
images\000001198.tif  labels\000001198.tif 
images\000001199.tif  labels\000001199.tif 
images\000001200.tif  labels\000001200.tif 
images\000001201.tif  labels\000001201.tif 
images\000001202.tif  labels\000001202.tif 
images\000001203.tif  labels\000001203.tif 
images\000001204.tif  labels\000001204.tif 
images\000001205.tif  labels\000001205.tif 
images\000001206.tif  labels\000001206.tif 
images\000001207.tif  labels\000001207.tif 
images\000001208.tif  labels\000001208.tif 
images\000001209.tif  labels\000001209.tif 
images\000001210.tif  labels\000001210.tif 
images\000001211.tif  labels\000001211.tif 
images\000001212.tif  labels\000001212.tif 
images\000001213.tif  labels\000001213.tif 
images\000001214.tif  labels\000001214.tif 
images\000001215.tif  labels\000001215.tif 
images\000001216.tif  labels\000001216.tif 
images\000001217.tif  labels\000001217.tif 
images\000001218.tif  labels\000001218.tif 
images\000001219.tif  labels\000001219.tif 
images\000001220.tif  labels\000001220.tif 
images\000001221.tif  labels\000001221.tif 
images\000001222.tif  labels\000001222.tif 
images\000001223.tif  labels\000001223.tif 
images\000001224.tif  labels\000001224.tif 
images\000001225.tif  labels\000001225.tif 
images\000001226.tif  labels\000001226.tif 
images\000001227.tif  labels\000001227.tif 
images\000001228.tif  labels\000001228.tif 
images\000001229.tif  labels\000001229.tif 
images\000001230.tif  labels\000001230.tif 
images\000001231.tif  labels\000001231.tif 
images\000001232.tif  labels\000001232.tif 
images\000001233.tif  labels\000001233.tif 
images\000001234.tif  labels\000001234.tif 
images\000001235.tif  labels\000001235.tif 
images\000001236.tif  labels\000001236.tif 
images\000001237.tif  labels\000001237.tif 
images\000001238.tif  labels\000001238.tif 
images\000001239.tif  labels\000001239.tif 
images\000001240.tif  labels\000001240.tif 
images\000001241.tif  labels\000001241.tif 
images\000001242.tif  labels\000001242.tif 
images\000001243.tif  labels\000001243.tif 
images\000001244.tif  labels\000001244.tif 
images\000001245.tif  labels\000001245.tif 
images\000001246.tif  labels\000001246.tif 
images\000001247.tif  labels\000001247.tif 
images\000001248.tif  labels\000001248.tif 
images\000001249.tif  labels\000001249.tif 
images\000001250.tif  labels\000001250.tif 
images\000001251.tif  labels\000001251.tif 
images\000001252.tif  labels\000001252.tif 
images\000001253.tif  labels\000001253.tif 
images\000001254.tif  labels\000001254.tif 
images\000001255.tif  labels\000001255.tif 
images\000001256.tif  labels\000001256.tif 
images\000001257.tif  labels\000001257.tif 
images\000001258.tif  labels\000001258.tif 
images\000001259.tif  labels\000001259.tif 
images\000001260.tif  labels\000001260.tif 
images\000001261.tif  labels\000001261.tif 
images\000001262.tif  labels\000001262.tif 
images\000001263.tif  labels\000001263.tif 
images\000001264.tif  labels\000001264.tif 
images\000001265.tif  labels\000001265.tif 
images\000001266.tif  labels\000001266.tif 
images\000001267.tif  labels\000001267.tif 
images\000001268.tif  labels\000001268.tif 
images\000001269.tif  labels\000001269.tif 
images\000001270.tif  labels\000001270.tif 
images\000001271.tif  labels\000001271.tif 
images\000001272.tif  labels\000001272.tif 
images\000001273.tif  labels\000001273.tif 
images\000001274.tif  labels\000001274.tif 
images\000001275.tif  labels\000001275.tif 
images\000001276.tif  labels\000001276.tif 
images\000001277.tif  labels\000001277.tif 
images\000001278.tif  labels\000001278.tif 
images\000001279.tif  labels\000001279.tif 
images\000001280.tif  labels\000001280.tif 
images\000001281.tif  labels\000001281.tif 
images\000001282.tif  labels\000001282.tif 
images\000001283.tif  labels\000001283.tif 
images\000001284.tif  labels\000001284.tif 
images\000001285.tif  labels\000001285.tif 
images\000001286.tif  labels\000001286.tif 
images\000001287.tif  labels\000001287.tif 
images\000001288.tif  labels\000001288.tif 
images\000001289.tif  labels\000001289.tif 
images\000001290.tif  labels\000001290.tif 
images\000001291.tif  labels\000001291.tif 
images\000001292.tif  labels\000001292.tif 
images\000001293.tif  labels\000001293.tif 
images\000001294.tif  labels\000001294.tif 
images\000001295.tif  labels\000001295.tif 
images\000001296.tif  labels\000001296.tif 
images\000001297.tif  labels\000001297.tif 
images\000001298.tif  labels\000001298.tif 
images\000001299.tif  labels\000001299.tif 
images\000001300.tif  labels\000001300.tif 
images\000001301.tif  labels\000001301.tif 
images\000001302.tif  labels\000001302.tif 
images\000001303.tif  labels\000001303.tif 
images\000001304.tif  labels\000001304.tif 
images\000001305.tif  labels\000001305.tif 
images\000001306.tif  labels\000001306.tif 
images\000001307.tif  labels\000001307.tif 
images\000001308.tif  labels\000001308.tif 
images\000001309.tif  labels\000001309.tif 
images\000001310.tif  labels\000001310.tif 
images\000001311.tif  labels\000001311.tif 
images\000001312.tif  labels\000001312.tif 
images\000001313.tif  labels\000001313.tif 
images\000001314.tif  labels\000001314.tif 
images\000001315.tif  labels\000001315.tif 
images\000001316.tif  labels\000001316.tif 
images\000001317.tif  labels\000001317.tif 
images\000001318.tif  labels\000001318.tif 
images\000001319.tif  labels\000001319.tif 
images\000001320.tif  labels\000001320.tif 
images\000001321.tif  labels\000001321.tif 
images\000001322.tif  labels\000001322.tif 
images\000001323.tif  labels\000001323.tif 
images\000001324.tif  labels\000001324.tif 
images\000001325.tif  labels\000001325.tif 
images\000001326.tif  labels\000001326.tif 
images\000001327.tif  labels\000001327.tif 
images\000001328.tif  labels\000001328.tif 
images\000001329.tif  labels\000001329.tif 
images\000001330.tif  labels\000001330.tif 
images\000001331.tif  labels\000001331.tif 
images\000001332.tif  labels\000001332.tif 
images\000001333.tif  labels\000001333.tif 
images\000001334.tif  labels\000001334.tif 
images\000001335.tif  labels\000001335.tif 
images\000001336.tif  labels\000001336.tif 
images\000001337.tif  labels\000001337.tif 
images\000001338.tif  labels\000001338.tif 
images\000001339.tif  labels\000001339.tif 
images\000001340.tif  labels\000001340.tif 
images\000001341.tif  labels\000001341.tif 
images\000001342.tif  labels\000001342.tif 
images\000001343.tif  labels\000001343.tif 
images\000001344.tif  labels\000001344.tif 
images\000001345.tif  labels\000001345.tif 
images\000001346.tif  labels\000001346.tif 
images\000001347.tif  labels\000001347.tif 
images\000001348.tif  labels\000001348.tif 
images\000001349.tif  labels\000001349.tif 
images\000001350.tif  labels\000001350.tif 
images\000001351.tif  labels\000001351.tif 
images\000001352.tif  labels\000001352.tif 
images\000001353.tif  labels\000001353.tif 
images\000001354.tif  labels\000001354.tif 
images\000001355.tif  labels\000001355.tif 
images\000001356.tif  labels\000001356.tif 
images\000001357.tif  labels\000001357.tif 
images\000001358.tif  labels\000001358.tif 
images\000001359.tif  labels\000001359.tif 
images\000001360.tif  labels\000001360.tif 
images\000001361.tif  labels\000001361.tif 
images\000001362.tif  labels\000001362.tif 
images\000001363.tif  labels\000001363.tif 
images\000001364.tif  labels\000001364.tif 
images\000001365.tif  labels\000001365.tif 
images\000001366.tif  labels\000001366.tif 
images\000001367.tif  labels\000001367.tif 
images\000001368.tif  labels\000001368.tif 
images\000001369.tif  labels\000001369.tif 
images\000001370.tif  labels\000001370.tif 
images\000001371.tif  labels\000001371.tif 
images\000001372.tif  labels\000001372.tif 
images\000001373.tif  labels\000001373.tif 
images\000001374.tif  labels\000001374.tif 
images\000001375.tif  labels\000001375.tif 
images\000001376.tif  labels\000001376.tif 
images\000001377.tif  labels\000001377.tif 
images\000001378.tif  labels\000001378.tif 
images\000001379.tif  labels\000001379.tif 
images\000001380.tif  labels\000001380.tif 
images\000001381.tif  labels\000001381.tif 
images\000001382.tif  labels\000001382.tif 
images\000001383.tif  labels\000001383.tif 
images\000001384.tif  labels\000001384.tif 
images\000001385.tif  labels\000001385.tif 
images\000001386.tif  labels\000001386.tif 
images\000001387.tif  labels\000001387.tif 
images\000001388.tif  labels\000001388.tif 
images\000001389.tif  labels\000001389.tif 
images\000001390.tif  labels\000001390.tif 
images\000001391.tif  labels\000001391.tif 
images\000001392.tif  labels\000001392.tif 
images\000001393.tif  labels\000001393.tif 
images\000001394.tif  labels\000001394.tif 
images\000001395.tif  labels\000001395.tif 
images\000001396.tif  labels\000001396.tif 
images\000001397.tif  labels\000001397.tif 
